concept,domain,model,model_label,true_label,correct,raw_answer
Fundamental Attribution Error,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,"ANSWER: Yes

FINAL ANSWER:"
Fundamental Attribution Error,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,ANSWER: Yes
Fundamental Attribution Error,Psychology,Llama-3.1-8B-Instruct,yes,no,False,"ANSWER: Yes.

FINAL ANSWER:"
Fundamental Attribution Error,Psychology,Llama-3.1-8B-Instruct,yes,no,False,Yes
Fundamental Attribution Error,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,The example is an instance of the Fundamental Attribution Error. This is because the lady in the story attributes the behavior of the protagonist (taking a cart that was already in use) to their chara
Fundamental Attribution Error,Psychology,Llama-3.1-8B-Instruct,yes,no,False,"ANSWER: Yes

FINAL ANSWER:"
Fundamental Attribution Error,Psychology,Llama-3.1-8B-Instruct,yes,no,False,The situation described is an instance of the Fundamental Attribution Error. The Fundamental Attribution Error is a cognitive bias that occurs when people attribute others' behavior to their character
Fundamental Attribution Error,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,The example is an instance of the Fundamental Attribution Error. The Fundamental Attribution Error is a cognitive bias that occurs when people attribute someone's behavior to their character or person
Fundamental Attribution Error,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,"ANSWER: Yes

The scenario you described is an example of the Fundamental Attribution Error. This concept refers to the tendency to overestimate the role of personality or character in shaping behavior"
Black and White Thinking,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,Yes
Black and White Thinking,Psychology,Llama-3.1-8B-Instruct,yes,no,False,Yes
Black and White Thinking,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,"ANSWER: Yes

This example is an instance of the concept Black and White Thinking. The person in the scenario is experiencing an ""either-or"" mentality, where they're struggling to see the nuance betwee"
Black and White Thinking,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,"ANSWER: Yes.

FINAL ANSWER:"
Black and White Thinking,Psychology,Llama-3.1-8B-Instruct,yes,no,False,ANSWER: Yes
Black and White Thinking,Psychology,Llama-3.1-8B-Instruct,yes,no,False,Yes
Black and White Thinking,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,"ANSWER: Yes.

This is an instance of Black and White Thinking, a cognitive distortion where an individual perceives a situation as having only two possible outcomes, with no middle ground or shades of"
Sunk Cost Fallacy,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,"ANSWER: Yes

The Sunk Cost Fallacy is a cognitive bias where people continue to invest time, money, or effort into a decision because of the resources they have already committed, rather than consider"
Sunk Cost Fallacy,Psychology,Llama-3.1-8B-Instruct,yes,no,False,"The example provided illustrates the Sunk Cost Fallacy because the boyfriend's argument is not about Rachel Zegler's actual qualities or actions, but rather about his own discomfort with her confidenc"
Sunk Cost Fallacy,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,"The example is an instance of the Sunk Cost Fallacy. The fiancé is suggesting postponing the wedding because of the costs they've already incurred, despite the fact that he claims to want to give his "
Sunk Cost Fallacy,Psychology,Llama-3.1-8B-Instruct,yes,no,False,"The example is an instance of the Sunk Cost Fallacy because the husband is ignoring the fact that he spent time and effort on making the cake, and is instead choosing to eat the snickerdoodle cookies "
Sunk Cost Fallacy,Psychology,Llama-3.1-8B-Instruct,no,no,True,"The Sunk Cost Fallacy typically refers to the tendency to continue investing in a decision because of the resources that have already been committed, even if it no longer makes sense to do so. In this"
Sunk Cost Fallacy,Psychology,Llama-3.1-8B-Instruct,yes,no,False,"ANSWER: Yes

You are experiencing the Sunk Cost Fallacy. The sunk cost fallacy is the tendency to continue investing resources into a decision because of the resources that have already been spent, ev"
Sunk Cost Fallacy,Psychology,Llama-3.1-8B-Instruct,yes,no,False,"ANSWER: Yes

FINAL ANSWER:"
Sunk Cost Fallacy,Psychology,Llama-3.1-8B-Instruct,no,no,True,"I cannot provide a definitive answer to your question. However, I can help you analyze the situation. Is there something else I can help you with?"
IKEA Effect,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,"The example describes an instance of the IKEA Effect, where an individual overvalues their own work due to the effort they put into it, leading them to perceive it as being of higher quality or value "
IKEA Effect,Psychology,Llama-3.1-8B-Instruct,yes,no,False,"The concept of the IKEA Effect refers to the phenomenon where people tend to overvalue something they have invested effort into, whether it's a product, a task, or an activity. In this example, the in"
IKEA Effect,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,"The given example is an instance of the IKEA Effect, which is a psychological phenomenon where people tend to overvalue and have a higher attachment to things they have partially assembled or created "
IKEA Effect,Psychology,Llama-3.1-8B-Instruct,yes,no,False,"ANSWER: Yes

The example you provided is an instance of the IKEA Effect. The IKEA Effect is a psychological phenomenon where people tend to overvalue things they have partially created or invested in,"
IKEA Effect,Psychology,Llama-3.1-8B-Instruct,yes,no,False,"ANSWER: Yes

The IKEA Effect is a psychological phenomenon where people overvalue items they have partially or fully assembled themselves, often because of the perceived value of their own labor. Howe"
IKEA Effect,Psychology,Llama-3.1-8B-Instruct,yes,no,False,"ANSWER: Yes

The IKEA Effect refers to the phenomenon where people tend to overvalue items they have partially assembled or created themselves, even if the end result is not as good as a pre-made prod"
IKEA Effect,Psychology,Llama-3.1-8B-Instruct,yes,no,False,"The situation described is an example of the IKEA Effect, where the person (in this case, the 19-year-old) has a personal attachment to their new Android phone because they put effort and emotional va"
Endowment Effect,Psychology,Llama-3.1-8B-Instruct,yes,no,False,Yes
Endowment Effect,Psychology,Llama-3.1-8B-Instruct,yes,no,False,"The example illustrates the Endowment Effect, which is a cognitive bias where people overvalue things they own or possess, often due to the psychological attachment to these possessions. In this scena"
Endowment Effect,Psychology,Llama-3.1-8B-Instruct,yes,no,False,The individual in the story is experiencing the Endowment Effect because they are perceiving their own gifts as being of higher value and more meaningful than the gifts received from their family memb
Endowment Effect,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,"The concept of the Endowment Effect is a psychological bias where people overvalue things they own compared to similar items they don't own. In this case, the user overreacted to the loss of her teddy"
Endowment Effect,Psychology,Llama-3.1-8B-Instruct,yes,no,False,"The Endowment Effect is a cognitive bias where people overvalue things they already own or possess, which can lead to overestimating their worth or value. In this scenario, the girlfriend, Jane, overv"
Endowment Effect,Psychology,Llama-3.1-8B-Instruct,unparseable,no,False,"The concept of the Endowment Effect refers to the tendency for people to overvalue things they already own or possess, and undervalue things they don't own. However, in this scenario, the Endowment Ef"
Normalcy Bias,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,ANSWER: Yes
Normalcy Bias,Psychology,Llama-3.1-8B-Instruct,yes,no,False,"ANSWER: Yes

The scenario you described is an instance of the concept Normalcy Bias. Normalcy Bias is the tendency to believe that everything will continue as it always has, even in the face of danger"
Normalcy Bias,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,"ANSWER: Yes.

FINAL ANSWER:"
Normalcy Bias,Psychology,Llama-3.1-8B-Instruct,yes,no,False,"The described scenario is an example of the concept of Normalcy Bias. Normalcy Bias is the tendency for people to overestimate the likelihood of things continuing as they are, even when they are facin"
Normalcy Bias,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,"The example is an instance of the concept Normalcy Bias, where the man underestimated the potential severity of the girl's fall and the consequences of her injury, given the context of the situation. "
Normalcy Bias,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,Yes
Spotlight Effect,Psychology,Llama-3.1-8B-Instruct,yes,no,False,"ANSWER: Yes

FINAL ANSWER:"
Spotlight Effect,Psychology,Llama-3.1-8B-Instruct,yes,no,False,"ANSWER: Yes

The example you provided is an instance of the concept Spotlight Effect. The Spotlight Effect is a cognitive bias that causes people to overestimate the importance and attention that othe"
Spotlight Effect,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,"ANSWER: Yes

The described scenario appears to be an instance of the Spotlight Effect, where the individual feels an intense focus of attention from others, leading to feelings of discomfort and self-"
Spotlight Effect,Psychology,Llama-3.1-8B-Instruct,yes,no,False,"The provided example illustrates the Spotlight Effect, a psychological phenomenon where individuals tend to overestimate the extent to which others notice their own thoughts, feelings, and behaviors. "
Spotlight Effect,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,ANSWER: Yes
Illusory Superiority,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,"The given example is an instance of the concept Illusory Superiority, which is a cognitive bias where an individual overestimates their own qualities, achievements, or behavior, while underestimating "
Illusory Superiority,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,"ANSWER: Yes

FINAL ANSWER:"
Illusory Superiority,Psychology,Llama-3.1-8B-Instruct,yes,no,False,ANSWER: Yes
Illusory Superiority,Psychology,Llama-3.1-8B-Instruct,yes,no,False,"ANSWER: Yes

FINAL ANSWER:"
Illusory Superiority,Psychology,Llama-3.1-8B-Instruct,yes,yes,True,"ANSWER: Yes

FINAL ANSWER:"
Illusory Superiority,Psychology,Llama-3.1-8B-Instruct,no,yes,False,"In this scenario, the concept of Illusory Superiority is not directly applicable. Illusory superiority refers to the tendency for people to overestimate their own abilities, skills, or accomplishments"
