model,model_id,benchmark,n_runs,mean,std,min,max
LLaMA-3.3-70B-q4,Mohammedxo51_llama-3.3-70b-q4,bbh,1,0.77,0.0,0.77,0.77
Qwen2-VL-7B,Qwen_Qwen2-VL-7B-Instruct,bbh,1,0.96,0.0,0.96,0.96
Qwen2-VL-7B,Qwen_Qwen2-VL-7B-Instruct,mmlu,1,0.34,0.0,0.34,0.34
Qwen2.5-0.5B,Qwen_Qwen2.5-0.5B-Instruct,mmlu,3,1.1233333333333333,0.23012074125457604,0.9,1.44
Qwen2.5-7B,Qwen_Qwen2.5-7B-Instruct,bbh,5,0.784,0.05003998401278722,0.72,0.84
Qwen2.5-7B,Qwen_Qwen2.5-7B-Instruct,mmlu,5,0.8620000000000001,0.1108873302050329,0.74,1.05
DeepSeek-R1-Distill-7B,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,bbh,1,0.89,0.0,0.89,0.89
DeepSeek-R1-Distill-7B,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,mmlu,1,0.94,0.0,0.94,0.94
LLaMA-3.1-8B,meta-llama_Llama-3.1-8B-Instruct,bbh,5,1.024,0.10287856919689348,0.9,1.14
LLaMA-3.1-8B,meta-llama_Llama-3.1-8B-Instruct,mmlu,5,0.9520000000000002,0.1123209686567918,0.8,1.11
LLaMA-3.2-3B,meta-llama_Llama-3.2-3B-Instruct,bbh,5,0.968,0.10419213022104888,0.82,1.08
LLaMA-3.2-3B,meta-llama_Llama-3.2-3B-Instruct,mmlu,5,1.018,0.07222188034107119,0.91,1.1
