concept,domain,model,model_label,true_label,correct,raw_answer
Fundamental Attribution Error,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Fundamental Attribution Error,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Fundamental Attribution Error,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Fundamental Attribution Error,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Fundamental Attribution Error,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Fundamental Attribution Error,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Fundamental Attribution Error,Psychology,Qwen2-VL-7B-Instruct,no,no,True,No
Fundamental Attribution Error,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Fundamental Attribution Error,Psychology,Qwen2-VL-7B-Instruct,no,yes,False,ANSWER: No
Black and White Thinking,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Black and White Thinking,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Black and White Thinking,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Black and White Thinking,Psychology,Qwen2-VL-7B-Instruct,no,yes,False,ANSWER: No
Black and White Thinking,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Black and White Thinking,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Black and White Thinking,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Sunk Cost Fallacy,Psychology,Qwen2-VL-7B-Instruct,no,yes,False,ANSWER: No
Sunk Cost Fallacy,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Sunk Cost Fallacy,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Sunk Cost Fallacy,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Sunk Cost Fallacy,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Sunk Cost Fallacy,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Sunk Cost Fallacy,Psychology,Qwen2-VL-7B-Instruct,no,no,True,ANSWER: No
Sunk Cost Fallacy,Psychology,Qwen2-VL-7B-Instruct,no,no,True,ANSWER: No
IKEA Effect,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
IKEA Effect,Psychology,Qwen2-VL-7B-Instruct,no,no,True,ANSWER: No
IKEA Effect,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
IKEA Effect,Psychology,Qwen2-VL-7B-Instruct,no,no,True,ANSWER: No
IKEA Effect,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
IKEA Effect,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
IKEA Effect,Psychology,Qwen2-VL-7B-Instruct,no,no,True,ANSWER: No
Pseudocertainty Effect,Psychology,Qwen2-VL-7B-Instruct,no,yes,False,ANSWER: No
Pseudocertainty Effect,Psychology,Qwen2-VL-7B-Instruct,no,yes,False,ANSWER: No
Pseudocertainty Effect,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Pseudocertainty Effect,Psychology,Qwen2-VL-7B-Instruct,no,no,True,ANSWER: No
Pseudocertainty Effect,Psychology,Qwen2-VL-7B-Instruct,no,no,True,ANSWER: No
Pseudocertainty Effect,Psychology,Qwen2-VL-7B-Instruct,no,no,True,No
Endowment Effect,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Endowment Effect,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Endowment Effect,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Endowment Effect,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Endowment Effect,Psychology,Qwen2-VL-7B-Instruct,no,no,True,ANSWER: No
Endowment Effect,Psychology,Qwen2-VL-7B-Instruct,no,no,True,No
Naive Cynicism,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Naive Cynicism,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Naive Cynicism,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Naive Cynicism,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Naive Cynicism,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Naive Cynicism,Psychology,Qwen2-VL-7B-Instruct,no,yes,False,ANSWER: No
Naive Cynicism,Psychology,Qwen2-VL-7B-Instruct,no,yes,False,ANSWER: No
Normalcy Bias,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Normalcy Bias,Psychology,Qwen2-VL-7B-Instruct,no,no,True,ANSWER: No
Normalcy Bias,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Normalcy Bias,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Normalcy Bias,Psychology,Qwen2-VL-7B-Instruct,no,yes,False,ANSWER: No
Normalcy Bias,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Spotlight Effect,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Spotlight Effect,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Spotlight Effect,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Spotlight Effect,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Spotlight Effect,Psychology,Qwen2-VL-7B-Instruct,no,yes,False,No
Illusory Superiority,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Illusory Superiority,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Illusory Superiority,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Illusory Superiority,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Illusory Superiority,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Illusory Superiority,Psychology,Qwen2-VL-7B-Instruct,no,yes,False,No
Catastrophizing,Psychology,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Catastrophizing,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Catastrophizing,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Catastrophizing,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Catastrophizing,Psychology,Qwen2-VL-7B-Instruct,no,no,True,No
Catastrophizing,Psychology,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Catastrophizing,Psychology,Qwen2-VL-7B-Instruct,no,no,True,ANSWER: No
Haiku,Literary Techniques,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Haiku,Literary Techniques,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Haiku,Literary Techniques,Qwen2-VL-7B-Instruct,no,yes,False,ANSWER: No
Haiku,Literary Techniques,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Haiku,Literary Techniques,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Haiku,Literary Techniques,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Haiku,Literary Techniques,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Haiku,Literary Techniques,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Haiku,Literary Techniques,Qwen2-VL-7B-Instruct,no,no,True,ANSWER: No
Haiku,Literary Techniques,Qwen2-VL-7B-Instruct,no,no,True,ANSWER: No
Shakespearean Sonnet,Literary Techniques,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Shakespearean Sonnet,Literary Techniques,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Shakespearean Sonnet,Literary Techniques,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Shakespearean Sonnet,Literary Techniques,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Shakespearean Sonnet,Literary Techniques,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Shakespearean Sonnet,Literary Techniques,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Shakespearean Sonnet,Literary Techniques,Qwen2-VL-7B-Instruct,no,no,True,ANSWER: No
Shakespearean Sonnet,Literary Techniques,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Shakespearean Sonnet,Literary Techniques,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Shakespearean Sonnet,Literary Techniques,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
Analogy,Literary Techniques,Qwen2-VL-7B-Instruct,no,yes,False,ANSWER: No
Analogy,Literary Techniques,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Analogy,Literary Techniques,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Analogy,Literary Techniques,Qwen2-VL-7B-Instruct,yes,yes,True,ANSWER: Yes
Analogy,Literary Techniques,Qwen2-VL-7B-Instruct,no,yes,False,ANSWER: No
Analogy,Literary Techniques,Qwen2-VL-7B-Instruct,no,no,True,ANSWER: No
Analogy,Literary Techniques,Qwen2-VL-7B-Instruct,yes,no,False,ANSWER: Yes
