concept,domain,model,model_label,true_label,correct,raw_answer
Fundamental Attribution Error,Psychology,Qwen2.5-7B-Instruct,yes,yes,True,The scenario provided is indeed an example of the Fundamental Attribution Error. The error occurs when one attributes someone's behavior to their character or inherent qualities rather than situationa
Fundamental Attribution Error,Psychology,Qwen2.5-7B-Instruct,yes,yes,True,"Let's analyze the scenario provided:

The user is reacting strongly to what they perceive as a lazy or negligent delivery person. They immediately report the incident without further investigation int"
Fundamental Attribution Error,Psychology,Qwen2.5-7B-Instruct,yes,no,False,** Yes
Fundamental Attribution Error,Psychology,Qwen2.5-7B-Instruct,yes,no,False,"Let's analyze this situation step by step to determine if it involves the Fundamental Attribution Error.

The Fundamental Attribution Error (FAE) occurs when people tend to overestimate the influence "
Fundamental Attribution Error,Psychology,Qwen2.5-7B-Instruct,yes,yes,True,ANSWER: Yes
Fundamental Attribution Error,Psychology,Qwen2.5-7B-Instruct,yes,no,False,"Let's analyze whether this scenario illustrates the Fundamental Attribution Error:

The Fundamental Attribution Error is a cognitive bias where people tend to overemphasize personality-based explanati"
Fundamental Attribution Error,Psychology,Qwen2.5-7B-Instruct,yes,no,False,"Let's analyze this scenario through the lens of the Fundamental Attribution Error (FAE).

The Fundamental Attribution Error refers to the tendency to overemphasize personality-based explanations for s"
Fundamental Attribution Error,Psychology,Qwen2.5-7B-Instruct,no,yes,False,No
Fundamental Attribution Error,Psychology,Qwen2.5-7B-Instruct,yes,yes,True,Let's analyze this scenario through the lens of the Fundamental Attribution Error (FAE). FAE refers to the tendency to overemphasize personal characteristics and underemphasize situational factors whe
Black and White Thinking,Psychology,Qwen2.5-7B-Instruct,yes,yes,True,** Yes
Black and White Thinking,Psychology,Qwen2.5-7B-Instruct,yes,no,False,ANSWER: Yes
Black and White Thinking,Psychology,Qwen2.5-7B-Instruct,no,yes,False,No
Black and White Thinking,Psychology,Qwen2.5-7B-Instruct,no,yes,False,"ANSWER: No

The text describes the narrator's feelings and experiences related to gift-giving, but it does not present a black-and-white thinking pattern. Black-and-white thinking involves viewing sit"
Black and White Thinking,Psychology,Qwen2.5-7B-Instruct,no,no,True,No
Black and White Thinking,Psychology,Qwen2.5-7B-Instruct,yes,no,False,ANSWER: Yes
Black and White Thinking,Psychology,Qwen2.5-7B-Instruct,yes,yes,True,"Let's analyze whether this scenario exemplifies black and white thinking:

Black and white thinking involves seeing situations in only two extremes—right or wrong, good or bad—without considering shad"
Sunk Cost Fallacy,Psychology,Qwen2.5-7B-Instruct,no,yes,False,No
Sunk Cost Fallacy,Psychology,Qwen2.5-7B-Instruct,no,no,True,No
Sunk Cost Fallacy,Psychology,Qwen2.5-7B-Instruct,yes,yes,True,"** Yes, this example is an instance of the Sunk Cost Fallacy."
