concept,domain,model,definition,judge_verdict,correct
Haiku,Literary Techniques,Qwen2.5-7B-Instruct,"Haiku is a form of Japanese poetry characterized by its 5-7-5 syllable structure, focusing on nature, capturing fleeting moments, and conveying deep emotion through simple, direct language, often reflecting Zen Buddhist principles of simplicity and mindfulness.",1,True
Shakespearean Sonnet,Literary Techniques,Qwen2.5-7B-Instruct,"A Shakespearean sonnet is a 14-line poem written in iambic pentameter, structured into three quatrains (four-line stanzas) and a concluding couplet, adhering to the rhyme scheme ABAB CDCD EFEF GG, and typically exploring themes like love, beauty, and mortality.",1,True
Analogy,Literary Techniques,Qwen2.5-7B-Instruct,"An analogy is a rhetorical device that draws a comparison between two things that are alike in some specific aspects, often used to explain or clarify a concept by relating it to something more familiar. It involves identifying and emphasizing the similarities between the subject being explained and a base object or idea.",1,True
Paradox,Literary Techniques,Qwen2.5-7B-Instruct,"A paradox is a statement, situation, or proposition that contains conflicting ideas or elements, seemingly defying logic or intuition, and which often leads to a self-refuting conclusion when analyzed closely, thus challenging our understanding and forcing us to reconsider underlying assumptions.",1,True
Anacoluthon,Literary Techniques,Qwen2.5-7B-Instruct,"Anacoluthon is a figure of speech characterized by an interruption or derailment in the normal flow of a sentence, where the speaker or writer begins to express one idea and then shifts to another without completing the original thought or correcting the grammatical structure, often used to convey a sense of spontaneity or to mimic natural speech patterns.",1,True
Asyndeton,Literary Techniques,Qwen2.5-7B-Instruct,"Asyndeton is a figure of speech characterized by the intentional omission of conjunctions such as ""and,"" ""or,"" and ""but"" between items in a series, phrases, or clauses within a sentence, creating a quick, emphatic, and sometimes powerful effect.",1,True
Hyperbaton,Literary Techniques,Qwen2.5-7B-Instruct,"Hyperbaton is a rhetorical device involving the deliberate rearrangement of the typical or expected word order in a sentence to emphasize certain words, create rhythm, or add dramatic effect.",1,True
Synesis,Literary Techniques,Qwen2.5-7B-Instruct,"Synesis is a linguistic phenomenon where the meaning of a sentence is interpreted in a non-literal, more natural way, often through a flexible approach to sentence structure that deviates from strict grammatical rules, allowing for a clearer or more idiomatic expression.",1,True
Accismus,Literary Techniques,Qwen2.5-7B-Instruct,"Accismus is a rhetorical device in which a part is deliberately separated from the whole to create emphasis or a more vivid image, often used to highlight the remaining elements by contrasting them with what has been abstracted or removed.",-1,False
Slant Rhyme,Literary Techniques,Qwen2.5-7B-Instruct,"Slant rhyme, or half rhyme, is a form of rhyme where the ending sounds of words are similar but not exactly the same, creating a subtle and nuanced effect in poetry or song lyrics.",1,True
Enthymeme,Literary Techniques,Qwen2.5-7B-Instruct,"An enthymeme is a form of syllogistic reasoning in which one or more premises are omitted, typically due to their being obvious or universally accepted, resulting in a more concise and often persuasive argument.",1,True
Anapest,Literary Techniques,Qwen2.5-7B-Instruct,"An anapest is a metrical foot in poetry consisting of two unstressed syllables followed by one stressed syllable (unstressed, unstressed, stressed), which is used to create rhythmic patterns and convey specific emotions or movements within a poem.",1,True
Strict Dominance,Game Theory,Qwen2.5-7B-Instruct,"Strict dominance in game theory refers to a scenario where one strategy provides a higher payoff than another for every possible combination of actions that other players might take, ensuring that the superior strategy is always the preferred choice for the player adopting it.",1,True
Iterated Dominance,Game Theory,Qwen2.5-7B-Instruct,"Iterated dominance is a process in game theory where strategies that are strictly dominated by others are successively eliminated in a game, considering the remaining strategies in subsequent rounds, until no further elimination is possible based on strict dominance. This process simplifies the game by reducing the number of strategies that need to be considered, aiding in the analysis of strategic interactions.",1,True
Weak Dominance,Game Theory,Qwen2.5-7B-Instruct,"Weak Dominance in game theory and decision-making refers to a situation where one strategy (A) is at least as good as another strategy (B) in all possible outcomes, and strictly better in at least one outcome, thus making strategy A a preferred choice over strategy B.",-1,False
Pure Nash Equilibrium,Game Theory,Qwen2.5-7B-Instruct,"A Pure Nash Equilibrium is a situation in a strategic game where each player is employing a pure strategy, and no player can improve their outcome by unilaterally changing their strategy, given that all other players maintain their strategies unchanged.",1,True
Mixed Strategy Nash Equilibrium,Game Theory,Qwen2.5-7B-Instruct,"A Mixed Strategy Nash Equilibrium in game theory is a situation where each player in a game is using a mixed strategy (randomly choosing among available actions), and no player can increase their expected payoff by unilaterally changing their strategy, given the mixed strategies of the other players.",1,True
Pareto Optimality,Game Theory,Qwen2.5-7B-Instruct,Pareto Optimality refers to a state of allocation of resources in which it is impossible to make any one individual better off without making at least one individual worse off. An allocation is considered Pareto optimal if no further changes can be made that would improve the situation of one individual without worsening the situation of another.,1,True
Best Response,Game Theory,Qwen2.5-7B-Instruct,"A Best Response is the optimal strategy or action that a player selects in a game or strategic interaction, which maximizes their payoff or utility given the strategies chosen by other players, assuming those strategies remain unchanged.",1,True
Zero-Sum Game,Game Theory,Qwen2.5-7B-Instruct,"A zero-sum game is a situation in which one person’s or entity’s gain is exactly balanced by the losses of another, such that the net change in wealth or benefit among all participants is zero. In essence, there is a fixed pie that cannot be altered, and any increase in one participant's share comes at the direct expense of another's.",1,True
Symmetric Game,Game Theory,Qwen2.5-7B-Instruct,"A symmetric game is one in which the payoffs to the players depend solely on the strategy profiles and not on the specific identities of the players. Essentially, swapping any two players in the game does not alter the payoffs or the structure of the game.",1,True
Saddle Point,Game Theory,Qwen2.5-7B-Instruct,"A saddle point is a critical point on a surface where the slopes (derivatives) in orthogonal directions are zero but the overall behavior is that of a saddle: decreasing in one direction and increasing in another. Mathematically, for a function f(x, y), a point (x0, y0) is a saddle point if it is a stationary point that is not a local extremum, meaning it is a local maximum in one direction and a local minimum in another.",1,True
Catastrophizing,Psychological Biases,Qwen2.5-7B-Instruct,"Catastrophizing is a cognitive distortion characterized by the tendency to overestimate the likelihood and severity of negative outcomes, leading to excessive worry and anxiety about potential future events, often resulting in avoidance behaviors and limiting one's ability to engage in normal activities.",1,True
Personalization,Psychological Biases,Qwen2.5-7B-Instruct,"Personalization is the practice of adapting products, services, or information to suit the unique characteristics, preferences, and behaviors of individual users, often through the analysis of data to enhance relevance and satisfaction.",1,True
Labeling (Overgeneralization),Psychological Biases,Qwen2.5-7B-Instruct,"Labeling (overgeneralization) is the practice of assigning a fixed, broad label to individuals or groups based on perceived characteristics or behaviors, without consideration for individual differences or specific contexts.",1,True
Status Quo Bias,Psychological Biases,Qwen2.5-7B-Instruct,"Status Quo Bias is a psychological phenomenon where individuals or groups tend to prefer maintaining the current state of affairs over making changes, even if those changes could potentially lead to improvements. This bias is driven by factors such as fear of uncertainty, cognitive laziness, and a preference for simplicity, and it can manifest in personal, organizational, and societal contexts.",1,True
Sunk Cost Fallacy,Psychological Biases,Qwen2.5-7B-Instruct,"The sunk cost fallacy is a cognitive bias where an individual continues to invest resources into a project, decision, or situation despite evidence that it is not yielding positive results, solely because some resources (money, time, effort) have already been invested and cannot be recovered. This bias can lead to irrational and suboptimal choices.",1,True
