concept,domain,model,definition,judge_verdict,correct
Haiku,Literary Techniques,Llama-3.1-8B-Instruct,"Haiku is a traditional Japanese form of poetry characterized by a 5-7-5 syllable structure, simple language, and a focus on capturing a moment in time, often inspired by nature.",1,True
Shakespearean Sonnet,Literary Techniques,Llama-3.1-8B-Instruct,"A Shakespearean Sonnet is a 14-line poem with a specific rhyme scheme (ABAB CDCD EFEF GG), written in iambic pentameter, exploring themes of love, beauty, and mortality, and typically consisting of four quatrains and a final couplet.",-1,False
Analogy,Literary Techniques,Llama-3.1-8B-Instruct,"An analogy is a comparison between two seemingly unrelated things that share a common characteristic or relationship, used to explain, illustrate, or highlight a similarity between them.",1,True
Paradox,Literary Techniques,Llama-3.1-8B-Instruct,"A paradox is a statement or situation that contradicts itself or appears to defy logic, often by presenting two or more conflicting ideas or principles, challenging our intuition, highlighting the limitations of language or logic, and leading to interesting philosophical or intellectual discussions.",1,True
Anacoluthon,Literary Techniques,Llama-3.1-8B-Instruct,"Anacoluthon is a rhetorical device that involves a change in grammatical construction within a sentence, often used to create emphasis, drama, or surprise, where a speaker or writer starts a sentence in one form, but then shifts to another form mid-sentence.",1,True
Asyndeton,Literary Techniques,Llama-3.1-8B-Instruct,"Asyndeton is a rhetorical device that omits conjunctions between items in a list or series to create emphasis, add urgency, or convey drama.",1,True
Hyperbaton,Literary Techniques,Llama-3.1-8B-Instruct,Hyperbaton is a rhetorical device in literature and poetry that involves the deliberate inversion of the natural word order in a sentence or phrase to create emphasis or a specific tone.,-1,False
Synesis,Literary Techniques,Llama-3.1-8B-Instruct,"Synesis is a type of inference that involves making educated guesses or connections between ideas or concepts based on their inherent relationships or characteristics, relying on understanding and pattern recognition within a subject matter.",-1,False
Accismus,Literary Techniques,Llama-3.1-8B-Instruct,"Accismus is a rhetorical device in which a person pretends to refuse or deny something they actually desire, often used to convey a different message, test sincerity, or create a sense of intrigue.",1,True
Slant Rhyme,Literary Techniques,Llama-3.1-8B-Instruct,"A Slant Rhyme is a type of imperfect rhyme where words share a similar sound or sound pattern, often using assonance or consonance, but do not have the exact match of a perfect rhyme.",-1,False
Enthymeme,Literary Techniques,Llama-3.1-8B-Instruct,"An enthymeme is a condensed, logical argument consisting of a premise and a conclusion, often relying on shared knowledge or assumptions, aimed at persuading or convincing an audience through reasoning within their minds.",1,True
Anapest,Literary Techniques,Llama-3.1-8B-Instruct,"An anapest is a poetic foot consisting of two unstressed syllables followed by a stressed syllable, often used in anapestic meter to create a lighthearted or energetic effect.",1,True
Strict Dominance,Game Theory,Llama-3.1-8B-Instruct,"Strict dominance is a situation where one option is always better than another, with no exceptions, resulting in a guaranteed better outcome, regardless of the situation or strategy.",-1,False
Iterated Dominance,Game Theory,Llama-3.1-8B-Instruct,"Iterated Dominance is the process of eliminating dominated strategies in a game through repeated iterations, ultimately narrowing down the set of possible strategies to those that are not dominated, making it easier to determine the optimal strategy.",1,True
Weak Dominance,Game Theory,Llama-3.1-8B-Instruct,"Weak dominance is a situation where one option is better than another, but only under specific conditions, usually when the other player takes a certain action.",1,True
Pure Nash Equilibrium,Game Theory,Llama-3.1-8B-Instruct,"A Pure Nash Equilibrium is a state in a game where each player's chosen strategy is the best response to the strategies of all other players, and no player can improve their outcome by unilaterally changing their strategy.",-1,False
Mixed Strategy Nash Equilibrium,Game Theory,Llama-3.1-8B-Instruct,"A Mixed Strategy Nash Equilibrium is a state where each player uses a mixed strategy that is the best response to the mixed strategies of their opponents, resulting in no player being able to improve their outcome by changing their strategy, assuming the other players keep their strategies unchanged.",1,True
Pareto Optimality,Game Theory,Llama-3.1-8B-Instruct,"Pareto Optimality is a state where no one can be made better off without making someone else worse off, resulting in an efficient allocation of resources where it's impossible to improve one person's situation without harming another.",-1,False
Best Response,Game Theory,Llama-3.1-8B-Instruct,"A Best Response is the optimal strategy for a player in a game, given the strategies of the other players, that maximizes their payoff or utility, assuming the other players are playing their best responses.",0,False
Zero-Sum Game,Game Theory,Llama-3.1-8B-Instruct,"A Zero-Sum Game is a situation where the total outcome or payoff for all players combined is always zero, with one player's gain being exactly balanced by a corresponding loss by another player, resulting in no net change in the overall resources or wealth.",1,True
Symmetric Game,Game Theory,Llama-3.1-8B-Instruct,"A symmetric game is a type of game in Game Theory where the payoff or outcome is the same for all players, regardless of their individual actions or the actions of their opponents, with all players having the same set of strategies and the payoff matrix being symmetric.",-1,False
Saddle Point,Game Theory,Llama-3.1-8B-Instruct,"A saddle point is a point on a multivariable function's surface where the gradient is zero, but the second derivative test is inconclusive or negative, indicating a local maximum in one direction and a local minimum in another direction.",-1,False
Catastrophizing,Psychological Biases,Llama-3.1-8B-Instruct,"Catastrophizing is a cognitive distortion characterized by an excessive or unrealistic expectation of a negative outcome, often involving an overestimation of the severity and probability of a negative event, leading to increased anxiety, stress, and decreased problem-solving skills.",1,True
Personalization,Psychological Biases,Llama-3.1-8B-Instruct,"Personalization is the process of tailoring a product, service, or experience to fit the unique preferences, behaviors, or characteristics of a specific individual, often using data and analytics to create a customized and relevant offering.",1,True
Labeling (Overgeneralization),Psychological Biases,Llama-3.1-8B-Instruct,"Labeling (overgeneralization) is a cognitive bias where an individual assigns a label to a person, object, or situation based on limited information, and then applies that label to a broader context without considering other relevant details, often leading to inaccurate assumptions and misunderstandings.",1,True
Status Quo Bias,Psychological Biases,Llama-3.1-8B-Instruct,"Status Quo Bias is the tendency to prefer the existing state of affairs, often due to a comfort with the familiar, a fear of change, or a perceived risk associated with it, leading to a reluctance to adopt new ideas or alternatives that might be more beneficial.",1,True
Sunk Cost Fallacy,Psychological Biases,Llama-3.1-8B-Instruct,"The Sunk Cost Fallacy is a cognitive bias where individuals make suboptimal decisions by continuing to invest in or pursue a course of action due to a past sunk cost, despite it no longer being in their best interest.",1,True
Overconfidence,Psychological Biases,Llama-3.1-8B-Instruct,"Overconfidence is an excessive faith or belief in one's abilities, judgment, or actions, often leading to a lack of self-awareness, poor decision-making, and an increased risk of failure or harm.",1,True
Mental Filtering (Disqualifying the Positive),Psychological Biases,Llama-3.1-8B-Instruct,"Mental Filtering (Disqualifying the Positive) is a cognitive bias where an individual selectively focuses on negative information, ignoring or downplaying positive aspects, leading to an unbalanced and often distorted perception of reality.",-1,False
Confirmation Bias,Psychological Biases,Llama-3.1-8B-Instruct,"Confirmation bias is the systematic error or distortion in judgment, perception, or decision-making that occurs when an individual's pre-existing beliefs or opinions influence their selective interpretation and acceptance of information, leading to a biased and potentially inaccurate understanding of reality.",1,True
Mind Reading,Psychological Biases,Llama-3.1-8B-Instruct,"Mind reading is the alleged ability to directly perceive, interpret, and understand another person's thoughts, emotions, or intentions without them explicitly expressing them.",0,False
Anchoring Bias,Psychological Biases,Llama-3.1-8B-Instruct,"Anchoring bias is a cognitive bias that occurs when an individual's judgment is influenced by an initial piece of information or anchor, leading to a systematic error in decision-making and a loss of objectivity.",1,True
Fundamental Attribution Error,Psychological Biases,Llama-3.1-8B-Instruct,"The Fundamental Attribution Error is a cognitive bias that involves overestimating the role of personality and underestimating the impact of situational factors in shaping an individual's behavior, often leading to inaccurate attributions and negative consequences.",1,True
Demanding Bias,Psychological Biases,Llama-3.1-8B-Instruct,"Demanding bias is a situation where someone or something applies an unfair or prejudicial attitude or expectation to a situation, often resulting in an unjust or inaccurate judgment or action, typically due to a preconceived notion or expectation that influences their decision-making.",1,True
Black and White Thinking,Psychological Biases,Llama-3.1-8B-Instruct,"Black and White Thinking is a cognitive pattern characterized by a rigid, dichotomous worldview, where individuals categorize things into absolute, binary oppositions, often lacking nuance, and making absolute judgments, leading to poor decision-making and a failure to consider alternative perspectives.",1,True
IKEA Effect,Psychological Biases,Llama-3.1-8B-Instruct,"The IKEA Effect is a cognitive bias where individuals overvalue something they have invested effort into, due to the perceived ownership and cognitive dissonance resulting from their labor, leading to an inflated sense of value.",1,True
Pseudocertainty Effect,Psychological Biases,Llama-3.1-8B-Instruct,"The pseudocertainty effect is a cognitive bias where people overestimate the accuracy of their initial confident judgments, ignoring new information and becoming resistant to changing their opinion, even if it's incorrect.",-1,False
Endowment Effect,Psychological Biases,Llama-3.1-8B-Instruct,"The Endowment Effect is a cognitive bias where people overvalue things they own due to emotional attachment, leading to irrational decision-making and overestimation of their value.",1,True
Naive Cynicism,Psychological Biases,Llama-3.1-8B-Instruct,"Naive Cynicism is a worldview characterized by a simplistic or idealistic perspective, combined with a skeptical or distrustful attitude toward the world, authority, and institutions, often resulting in unrealistic expectations and a sense of disillusionment.",-1,False
Normalcy Bias,Psychological Biases,Llama-3.1-8B-Instruct,"Normalcy Bias refers to the cognitive bias that causes individuals to underestimate the likelihood or severity of a disaster or unexpected event, often due to overconfidence, underestimation of risks, and a lack of preparedness.",1,True
Spotlight Effect,Psychological Biases,Llama-3.1-8B-Instruct,"The Spotlight Effect is a cognitive bias where individuals overestimate the extent to which others notice and pay attention to their actions, behavior, or appearance, often leading to feelings of anxiety and self-consciousness.",1,True
Illusory Superiority,Psychological Biases,Llama-3.1-8B-Instruct,"Illusory Superiority is a psychological phenomenon where an individual has a distorted perception of their own abilities or qualities, believing they are superior to others when, in fact, they are not, often due to cognitive biases and a lack of accurate self-awareness.",1,True
